trialsno;listlength;phase;type;step;shape;color;nsubst;nrep;item0;item1;item2;item3;item4
25;10;1;updating;1;0;6;1;0;6;1;5;2;7
25;10;1;updating;2;1;9;1;0;6;9;5;2;7
25;10;1;updating;3;0;4;2;0;4;9;5;2;7
25;10;1;updating;4;3;10;1;0;4;9;5;10;7
25;10;1;updating;5;1;9;1;1;4;9;5;10;7
25;10;1;updating;6;3;1;2;0;4;9;5;1;7
25;10;1;updating;7;2;5;0;1;4;9;5;1;7
25;10;1;updating;8;3;1;2;1;4;9;5;1;7
25;10;1;updating;9;4;7;0;1;4;9;5;1;7
25;10;1;updating;10;0;10;3;0;10;9;5;1;7
25;5;2;recall;1;0;10;3;0;10;9;5;1;7
25;5;2;recall;2;1;9;1;1;10;9;5;1;7
25;5;2;recall;3;2;5;0;1;10;9;5;1;7
25;5;2;recall;4;3;1;2;1;10;9;5;1;7
25;5;2;recall;5;4;7;0;1;10;9;5;1;7
