stimulusType;stimulusValue
Up;F-106.png
Up;F-122.png
Up;F-125.png
Up;F-139.png
Up;F-261.png
Up;F-263.png
Up;M-167.png
Up;M-207.png
Up;M-293.png
Up;M-310.png
Up;M-373.png
Up;M-397.png
Down;F-106.png
Down;F-122.png
Down;F-125.png
Down;F-139.png
Down;F-261.png
Down;F-263.png
Down;M-167.png
Down;M-207.png
Down;M-293.png
Down;M-310.png
Down;M-373.png
Down;M-397.png
