stimulusType;stimulusValue;stimulusValueType;cueValue;cueValueType;correctResponse;shiftingType;keyCode1;keyLabel1;keyLabelType1;response1;keyIndex1;keyCode2;keyLabel2;keyLabelType2;response2;keyIndex2
parity;2;text;shifting-cue-parity.png;image;even;start;ArrowLeft;odd;text;odd;0;ArrowRight;even;text;even;1
magnitude;3;text;shifting-cue-size.png;image;less;switch;ArrowLeft;less;text;less;0;ArrowRight;greater;text;greater;1
parity;6;text;shifting-cue-parity.png;image;even;switch;ArrowLeft;odd;text;odd;0;ArrowRight;even;text;even;1
parity;3;text;shifting-cue-parity.png;image;odd;repetition;ArrowLeft;odd;text;odd;0;ArrowRight;even;text;even;1
magnitude;9;text;shifting-cue-size.png;image;greater;switch;ArrowLeft;less;text;less;0;ArrowRight;greater;text;greater;1
magnitude;7;text;shifting-cue-size.png;image;greater;repetition;ArrowLeft;less;text;less;0;ArrowRight;greater;text;greater;1
parity;1;text;shifting-cue-parity.png;image;odd;switch;ArrowLeft;odd;text;odd;0;ArrowRight;even;text;even;1
parity;6;text;shifting-cue-parity.png;image;even;repetition;ArrowLeft;odd;text;odd;0;ArrowRight;even;text;even;1
magnitude;4;text;shifting-cue-size.png;image;less;switch;ArrowLeft;less;text;less;0;ArrowRight;greater;text;greater;1
