stimulusCount,gridRows,gridCols,stimulusValue1,stimulusValue2,stimulusValueType1,stimulusValueType2,stimulusGridPosition1,stimulusGridPosition2,probeValue1,probeValue2,probeValueType1,probeValueType2,probeGridPosition1,probeGridPosition2,probeType1,probeType2,keyCount,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
2,5,5,grid_01.png,grid_06.png,image,image,15,1,grid_06.png,grid_01.png,image,image,1,15,match,match,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,5,5,grid_03.png,grid_05.png,image,image,9,4,grid_05.png,grid_10.png,image,image,6,4,intrusion,distractor,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
