stimulusCount;stimulusValue1;stimulusValueType1;gridPosition1;gridCellClass1;stimulusValue2;stimulusValueType2;gridPosition2;gridCellClass2;stimulusValue3;stimulusValueType3;gridPosition3;gridCellClass3;stimulusValue4;stimulusValueType4;gridPosition4;gridCellClass4;stimulusValue5;stimulusValueType5;gridPosition5;gridCellClass5;stimulusValue6;stimulusValueType6;gridPosition6;gridCellClass6;stimulusValue7;stimulusValueType7;gridPosition7;gridCellClass7
5;;text;5;tatoolCorsiBlock_fillCell;;text;3;tatoolCorsiBlock_fillCell;;text;8;tatoolCorsiBlock_fillCell;;text;9;tatoolCorsiBlock_fillCell;;text;7;tatoolCorsiBlock_fillCell
5;;text;3;tatoolCorsiBlock_fillCell;;text;9;tatoolCorsiBlock_fillCell;;text;4;tatoolCorsiBlock_fillCell;;text;5;tatoolCorsiBlock_fillCell;;text;2;tatoolCorsiBlock_fillCell
5;;text;7;tatoolCorsiBlock_fillCell;;text;2;tatoolCorsiBlock_fillCell;;text;8;tatoolCorsiBlock_fillCell;;text;3;tatoolCorsiBlock_fillCell;;text;9;tatoolCorsiBlock_fillCell
6;;text;8;tatoolCorsiBlock_fillCell;;text;5;tatoolCorsiBlock_fillCell;;text;6;tatoolCorsiBlock_fillCell;;text;4;tatoolCorsiBlock_fillCell;;text;7;tatoolCorsiBlock_fillCell;;text;1;tatoolCorsiBlock_fillCell
6;;text;9;tatoolCorsiBlock_fillCell;;text;1;tatoolCorsiBlock_fillCell;;text;7;tatoolCorsiBlock_fillCell;;text;6;tatoolCorsiBlock_fillCell;;text;4;tatoolCorsiBlock_fillCell;;text;8;tatoolCorsiBlock_fillCell
6;;text;2;tatoolCorsiBlock_fillCell;;text;6;tatoolCorsiBlock_fillCell;;text;9;tatoolCorsiBlock_fillCell;;text;1;tatoolCorsiBlock_fillCell;;text;3;tatoolCorsiBlock_fillCell;;text;5;tatoolCorsiBlock_fillCell
7;;text;9;tatoolCorsiBlock_fillCell;;text;3;tatoolCorsiBlock_fillCell;;text;2;tatoolCorsiBlock_fillCell;;text;8;tatoolCorsiBlock_fillCell;;text;6;tatoolCorsiBlock_fillCell;;text;7;tatoolCorsiBlock_fillCell;;text;1;tatoolCorsiBlock_fillCell
7;;text;6;tatoolCorsiBlock_fillCell;;text;4;tatoolCorsiBlock_fillCell;;text;5;tatoolCorsiBlock_fillCell;;text;9;tatoolCorsiBlock_fillCell;;text;3;tatoolCorsiBlock_fillCell;;text;2;tatoolCorsiBlock_fillCell;;text;8;tatoolCorsiBlock_fillCell
7;;text;2;tatoolCorsiBlock_fillCell;;text;8;tatoolCorsiBlock_fillCell;;text;3;tatoolCorsiBlock_fillCell;;text;6;tatoolCorsiBlock_fillCell;;text;1;tatoolCorsiBlock_fillCell;;text;4;tatoolCorsiBlock_fillCell;;text;5;tatoolCorsiBlock_fillCell
